Chr_Scaffold	NCBI_ACC	ENS_ACC
scaffold_AADN04014553.1_chr8random	NT_461466.1	AADN04014553.1
scaffold_AADN04014622.1_chr8random	NT_461467.1	AADN04014622.1
scaffold_AADN04014646.1_chr8random	NT_461468.1	AADN04014646.1
scaffold_AADN04014698.1_chr8random	NT_461469.1	AADN04014698.1
scaffold_AADN04014701.1_chr8random	NT_461470.1	AADN04014701.1
scaffold_AADN04014723.1_chr8random	NT_461471.1	AADN04014723.1
scaffold_AADN04014922.1_chr8random	NT_461472.1	AADN04014922.1
scaffold_AADN04014958.1_chr8random	NT_461473.1	AADN04014958.1
scaffold_AADN04015000.1_chr8random	NT_461474.1	AADN04015000.1
scaffold_AADN04015062.1_chr8random	NT_461475.1	AADN04015062.1
scaffold_AADN04015258.1_chr8random	NT_461476.1	AADN04015258.1
scaffold_AADN04015275.1_chr8random	NT_461477.1	AADN04015275.1
scaffold_AADN04015286.1_chr8random	NT_461478.1	AADN04015286.1
scaffold_AADN04015383.1_chr8random	NT_461479.1	AADN04015383.1
scaffold_AADN04015386.1_chr8random	NT_461480.1	AADN04015386.1
scaffold_AADN04015583.1_chr8random	NT_461481.1	AADN04015583.1
scaffold_AADN04015609.1_chr8random	NT_461482.1	AADN04015609.1
scaffold_AADN04015658.1_chr8random	NT_461483.1	AADN04015658.1
scaffold_AADN04015750.1_chr8random	NT_461484.1	AADN04015750.1
scaffold_AADN04001485.1_chr8random	NT_461329.1	AADN04001485.1
scaffold_AADN04015899.1_chr8random	NT_461485.1	AADN04015899.1
scaffold_AADN04015905.1_chr8random	NT_461486.1	AADN04015905.1
scaffold_AADN04015961.1_chr8random	NT_461487.1	AADN04015961.1
scaffold_AADN04016004.1_chr8random	NT_461488.1	AADN04016004.1
scaffold_AADN04016039.1_chr8random	NT_461489.1	AADN04016039.1
scaffold_AADN04016052.1_chr8random	NT_461490.1	AADN04016052.1
scaffold_AADN04016134.1_chr8random	NT_461491.1	AADN04016134.1
scaffold_AADN04016156.1_chr8random	NT_461492.1	AADN04016156.1
scaffold_AADN04016158.1_chr8random	NT_461493.1	AADN04016158.1
scaffold_AADN04016249.1_chr8random	NT_461494.1	AADN04016249.1
scaffold_AADN04016334.1_chr8random	NT_461495.1	AADN04016334.1
scaffold_AADN04001531.1_chr8random	NT_461330.1	AADN04001531.1
scaffold_AADN04016438.1_chr8random	NT_461496.1	AADN04016438.1
scaffold_AADN04016549.1_chr8random	NT_461497.1	AADN04016549.1
scaffold_AADN04016729.1_chr8random	NT_461498.1	AADN04016729.1
scaffold_AADN04016989.1_chr8random	NT_461499.1	AADN04016989.1
scaffold_AADN04017025.1_chr8random	NT_461500.1	AADN04017025.1
scaffold_AADN04017031.1_chr8random	NT_461501.1	AADN04017031.1
scaffold_AADN04017066.1_chr8random	NT_461502.1	AADN04017066.1
scaffold_AADN04017135.1_chr8random	NT_461503.1	AADN04017135.1
scaffold_AADN04017179.1_chr8random	NT_461504.1	AADN04017179.1
scaffold_AADN04017252.1_chr8random	NT_461505.1	AADN04017252.1
scaffold_AADN04017290.1_chr8random	NT_461506.1	AADN04017290.1
scaffold_AADN04017370.1_chr8random	NT_461507.1	AADN04017370.1
scaffold_AADN04001627.1_chr8random	NT_461331.1	AADN04001627.1
scaffold_AADN04017505.1_chr8random	NT_461508.1	AADN04017505.1
scaffold_AADN04017688.1_chr8random	NT_461509.1	AADN04017688.1
scaffold_AADN04017698.1_chr8random	NT_461510.1	AADN04017698.1
scaffold_AADN04017708.1_chr8random	NT_461511.1	AADN04017708.1
scaffold_AADN04017721.1_chr8random	NT_461512.1	AADN04017721.1
scaffold_AADN04017766.1_chr8random	NT_461513.1	AADN04017766.1
scaffold_AADN04017803.1_chr8random	NT_461514.1	AADN04017803.1
scaffold_AADN04017848.1_chr8random	NT_461515.1	AADN04017848.1
scaffold_AADN04017856.1_chr8random	NT_461516.1	AADN04017856.1
scaffold_AADN04017934.1_chr8random	NT_461517.1	AADN04017934.1
scaffold_AADN04018019.1_chr8random	NT_461518.1	AADN04018019.1
scaffold_AADN04018220.1_chr8random	NT_461519.1	AADN04018220.1
scaffold_AADN04018245.1_chr8random	NT_461520.1	AADN04018245.1
scaffold_AADN04001701.1_chr8random	NT_461332.1	AADN04001701.1
scaffold_AADN04001740.1_chr8random	NT_461333.1	AADN04001740.1
scaffold_AADN04018807.1_chr8random	NT_461521.1	AADN04018807.1
scaffold_AADN04018822.1_chr8random	NT_461522.1	AADN04018822.1
scaffold_AADN04018900.1_chr8random	NT_461523.1	AADN04018900.1
scaffold_AADN04019092.1_chr8random	NT_461524.1	AADN04019092.1
scaffold_AADN04019104.1_chr8random	NT_461525.1	AADN04019104.1
scaffold_AADN04019123.1_chr8random	NT_461526.1	AADN04019123.1
scaffold_AADN04019211.1_chr8random	NT_461527.1	AADN04019211.1
scaffold_AADN04019322.1_chr8random	NT_461528.1	AADN04019322.1
scaffold_AADN04019409.1_chr8random	NT_461529.1	AADN04019409.1
scaffold_AADN04019445.1_chr8random	NT_461530.1	AADN04019445.1
scaffold_AADN04019535.1_chr8random	NT_461531.1	AADN04019535.1
scaffold_AADN04019581.1_chr8random	NT_461532.1	AADN04019581.1
scaffold_AADN04019794.1_chr8random	NT_461533.1	AADN04019794.1
scaffold_AADN04019834.1_chr8random	NT_461534.1	AADN04019834.1
scaffold_AADN04019853.1_chr8random	NT_461535.1	AADN04019853.1
scaffold_AADN04020039.1_chr8random	NT_461536.1	AADN04020039.1
scaffold_AADN04020065.1_chr8random	NT_461537.1	AADN04020065.1
scaffold_AADN04020090.1_chr8random	NT_461538.1	AADN04020090.1
scaffold_AADN04020182.1_chr8random	NT_461539.1	AADN04020182.1
scaffold_AADN04020228.1_chr8random	NT_461540.1	AADN04020228.1
scaffold_AADN04020242.1_chr8random	NT_461541.1	AADN04020242.1
scaffold_AADN04020289.1_chr8random	NT_461542.1	AADN04020289.1
scaffold_AADN04020359.1_chr8random	NT_461543.1	AADN04020359.1
scaffold_AADN04020437.1_chr8random	NT_461544.1	AADN04020437.1
scaffold_AADN04020462.1_chr8random	NT_461545.1	AADN04020462.1
scaffold_AADN04020464.1_chr8random	NT_461546.1	AADN04020464.1
scaffold_AADN04020626.1_chr8random	NT_461547.1	AADN04020626.1
scaffold_AADN04020749.1_chr8random	NT_461548.1	AADN04020749.1
scaffold_AADN04020841.1_chr8random	NT_461549.1	AADN04020841.1
scaffold_AADN04001948.1_chr8random	NT_461334.1	AADN04001948.1
scaffold_AADN04020977.1_chr8random	NT_461550.1	AADN04020977.1
scaffold_AADN04020984.1_chr8random	NT_461551.1	AADN04020984.1
scaffold_AADN04021162.1_chr8random	NT_461552.1	AADN04021162.1
scaffold_AADN04021357.1_chr8random	NT_461553.1	AADN04021357.1
scaffold_AADN04021368.1_chr8random	NT_461554.1	AADN04021368.1
scaffold_AADN04021376.1_chr8random	NT_461555.1	AADN04021376.1
scaffold_AADN04021481.1_chr8random	NT_461556.1	AADN04021481.1
scaffold_AADN04021521.1_chr8random	NT_461557.1	AADN04021521.1
scaffold_AADN04021566.1_chr8random	NT_461558.1	AADN04021566.1
scaffold_AADN04021616.1_chr8random	NT_461559.1	AADN04021616.1
scaffold_AADN04021775.1_chr8random	NT_461560.1	AADN04021775.1
scaffold_AADN04021936.1_chr8random	NT_461561.1	AADN04021936.1
scaffold_AADN04021961.1_chr8random	NT_461562.1	AADN04021961.1
scaffold_AADN04022003.1_chr8random	NT_461563.1	AADN04022003.1
scaffold_AADN04022038.1_chr8random	NT_461564.1	AADN04022038.1
scaffold_AADN04002096.1_chr8random	NT_461335.1	AADN04002096.1
scaffold_AADN04022536.1_chr8random	NT_461565.1	AADN04022536.1
scaffold_AADN04022605.1_chr8random	NT_461566.1	AADN04022605.1
scaffold_AADN04002118.1_chr8random	NT_461336.1	AADN04002118.1
scaffold_AADN04022902.1_chr8random	NT_461567.1	AADN04022902.1
scaffold_AADN04022980.1_chr8random	NT_461568.1	AADN04022980.1
scaffold_AADN04023087.1_chr8random	NT_461569.1	AADN04023087.1
scaffold_AADN04023194.1_chr8random	NT_461570.1	AADN04023194.1
scaffold_AADN04023199.1_chr8random	NT_461571.1	AADN04023199.1
scaffold_AADN04023220.1_chr8random	NT_461572.1	AADN04023220.1
scaffold_AADN04023845.1_chr8random	NT_461573.1	AADN04023845.1
scaffold_AADN04024370.1_chr8random	NT_461574.1	AADN04024370.1
scaffold_AADN04024453.1_chr8random	NT_461575.1	AADN04024453.1
scaffold_AADN04002327.1_chr8random	NT_461337.1	AADN04002327.1
scaffold_AADN04002352.1_chr8random	NT_461338.1	AADN04002352.1
scaffold_AADN04002379.1_chr8random	NT_461339.1	AADN04002379.1
scaffold_AADN04002424.1_chr8random	NT_461340.1	AADN04002424.1
scaffold_AADN04002618.1_chr8random	NT_461341.1	AADN04002618.1
scaffold_AADN04002748.1_chr8random	NT_461342.1	AADN04002748.1
scaffold_AADN04002750.1_chr8random	NT_461343.1	AADN04002750.1
scaffold_AADN04002804.1_chr8random	NT_461344.1	AADN04002804.1
scaffold_AADN04002899.1_chr8random	NT_461345.1	AADN04002899.1
scaffold_AADN04002936.1_chr8random	NT_461346.1	AADN04002936.1
scaffold_AADN04002993.1_chr8random	NT_461347.1	AADN04002993.1
scaffold_AADN04002997.1_chr8random	NT_461348.1	AADN04002997.1
scaffold_AADN04003111.1_chr8random	NT_461349.1	AADN04003111.1
scaffold_AADN04003164.1_chr8random	NT_461350.1	AADN04003164.1
scaffold_AADN04003182.1_chr8random	NT_461351.1	AADN04003182.1
scaffold_AADN04003244.1_chr8random	NT_461352.1	AADN04003244.1
scaffold_AADN04003414.1_chr8random	NT_461353.1	AADN04003414.1
scaffold_AADN04003466.1_chr8random	NT_461354.1	AADN04003466.1
scaffold_AADN04003503.1_chr8random	NT_461355.1	AADN04003503.1
scaffold_AADN04003511.1_chr8random	NT_461356.1	AADN04003511.1
scaffold_AADN04003572.1_chr8random	NT_461357.1	AADN04003572.1
scaffold_AADN04003669.1_chr8random	NT_461358.1	AADN04003669.1
scaffold_KQ759436.1_chr8random	NT_461359.1	KQ759436.1
scaffold_AADN04003738.1_chr8random	NT_461360.1	AADN04003738.1
scaffold_AADN04003828.1_chr8random	NT_461361.1	AADN04003828.1
scaffold_AADN04003865.1_chr8random	NT_461362.1	AADN04003865.1
scaffold_AADN04003941.1_chr8random	NT_461363.1	AADN04003941.1
scaffold_KQ759437.1_chr8random	NT_461364.1	KQ759437.1
scaffold_AADN04004168.1_chr8random	NT_461365.1	AADN04004168.1
scaffold_AADN04004559.1_chr8random	NT_461366.1	AADN04004559.1
scaffold_AADN04004595.1_chr8random	NT_461367.1	AADN04004595.1
scaffold_AADN04004806.1_chr8random	NT_461368.1	AADN04004806.1
scaffold_AADN04004909.1_chr8random	NT_461369.1	AADN04004909.1
scaffold_AADN04005091.1_chr8random	NT_461370.1	AADN04005091.1
scaffold_AADN04005171.1_chr8random	NT_461371.1	AADN04005171.1
scaffold_AADN04005226.1_chr8random	NT_461372.1	AADN04005226.1
scaffold_AADN04005259.1_chr8random	NT_461373.1	AADN04005259.1
scaffold_AADN04005313.1_chr8random	NT_461374.1	AADN04005313.1
scaffold_AADN04005487.1_chr8random	NT_461375.1	AADN04005487.1
scaffold_AADN04005547.1_chr8random	NT_461376.1	AADN04005547.1
scaffold_AADN04005754.1_chr8random	NT_461377.1	AADN04005754.1
scaffold_AADN04005838.1_chr8random	NT_461378.1	AADN04005838.1
scaffold_KQ759438.1_chr8random	NT_461379.1	KQ759438.1
scaffold_AADN04006326.1_chr8random	NT_461380.1	AADN04006326.1
scaffold_AADN04006420.1_chr8random	NT_461381.1	AADN04006420.1
scaffold_AADN04006589.1_chr8random	NT_461382.1	AADN04006589.1
scaffold_AADN04006688.1_chr8random	NT_461383.1	AADN04006688.1
scaffold_AADN04006790.1_chr8random	NT_461384.1	AADN04006790.1
scaffold_AADN04006852.1_chr8random	NT_461385.1	AADN04006852.1
scaffold_AADN04006855.1_chr8random	NT_461386.1	AADN04006855.1
scaffold_AADN04007191.1_chr8random	NT_461387.1	AADN04007191.1
scaffold_AADN04007210.1_chr8random	NT_461388.1	AADN04007210.1
scaffold_AADN04007251.1_chr8random	NT_461389.1	AADN04007251.1
scaffold_AADN04007261.1_chr8random	NT_461390.1	AADN04007261.1
scaffold_AADN04007463.1_chr8random	NT_461391.1	AADN04007463.1
scaffold_AADN04007492.1_chr8random	NT_461392.1	AADN04007492.1
scaffold_AADN04007652.1_chr8random	NT_461393.1	AADN04007652.1
scaffold_AADN04007694.1_chr8random	NT_461394.1	AADN04007694.1
scaffold_AADN04007841.1_chr8random	NT_461395.1	AADN04007841.1
scaffold_AADN04007874.1_chr8random	NT_461396.1	AADN04007874.1
scaffold_AADN04007930.1_chr8random	NT_461397.1	AADN04007930.1
scaffold_AADN04008192.1_chr8random	NT_461398.1	AADN04008192.1
scaffold_AADN04008446.1_chr8random	NT_461399.1	AADN04008446.1
scaffold_AADN04008678.1_chr8random	NT_461400.1	AADN04008678.1
scaffold_AADN04008940.1_chr8random	NT_461401.1	AADN04008940.1
scaffold_AADN04009013.1_chr8random	NT_461402.1	AADN04009013.1
scaffold_AADN04009030.1_chr8random	NT_461403.1	AADN04009030.1
scaffold_AADN04009035.1_chr8random	NT_461404.1	AADN04009035.1
scaffold_AADN04009125.1_chr8random	NT_461405.1	AADN04009125.1
scaffold_AADN04009442.1_chr9random	NT_461608.1	AADN04009442.1
scaffold_AADN04009556.1_chr9random	NT_461609.1	AADN04009556.1
scaffold_AADN04009588.1_chr9random	NT_461610.1	AADN04009588.1
scaffold_AADN04009694.1_chr9random	NT_461611.1	AADN04009694.1
scaffold_AADN04009741.1_chr9random	NT_461612.1	AADN04009741.1
scaffold_AADN04010311.1_chr9random	NT_461613.1	AADN04010311.1
scaffold_KQ759442.1_chr9random	NT_461614.1	KQ759442.1
scaffold_AADN04010403.1_chr9random	NT_461615.1	AADN04010403.1
scaffold_AADN04010481.1_chr9random	NT_461616.1	AADN04010481.1
scaffold_AADN04010601.1_chr9random	NT_461617.1	AADN04010601.1
scaffold_AADN04010621.1_chr9random	NT_461618.1	AADN04010621.1
scaffold_AADN04010623.1_chr9random	NT_461619.1	AADN04010623.1
scaffold_AADN04010909.1_chr9random	NT_461620.1	AADN04010909.1
scaffold_AADN04010956.1_chr9random	NT_461621.1	AADN04010956.1
scaffold_AADN04010970.1_chr9random	NT_461622.1	AADN04010970.1
scaffold_AADN04011046.1_chr9random	NT_461623.1	AADN04011046.1
scaffold_AADN04011058.1_chr9random	NT_461624.1	AADN04011058.1
scaffold_AADN04011147.1_chr9random	NT_461625.1	AADN04011147.1
scaffold_AADN04011213.1_chr9random	NT_461626.1	AADN04011213.1
scaffold_KQ759440.1_chr9random	NT_461577.1	KQ759440.1
scaffold_AADN04001081.1_chr9random	NT_461578.1	AADN04001081.1
scaffold_AADN04011340.1_chr9random	NT_461627.1	AADN04011340.1
scaffold_AADN04011396.1_chr9random	NT_461628.1	AADN04011396.1
scaffold_AADN04011488.1_chr9random	NT_461629.1	AADN04011488.1
scaffold_AADN04011577.1_chr9random	NT_461630.1	AADN04011577.1
scaffold_AADN04011704.1_chr9random	NT_461631.1	AADN04011704.1
scaffold_AADN04011745.1_chr9random	NT_461632.1	AADN04011745.1
scaffold_AADN04011821.1_chr9random	NT_461633.1	AADN04011821.1
scaffold_AADN04012164.1_chr9random	NT_461634.1	AADN04012164.1
scaffold_AADN04012311.1_chr9random	NT_461635.1	AADN04012311.1
scaffold_AADN04012437.1_chr9random	NT_461636.1	AADN04012437.1
scaffold_AADN04012790.1_chr9random	NT_461637.1	AADN04012790.1
scaffold_AADN04012823.1_chr9random	NT_461638.1	AADN04012823.1
scaffold_AADN04012964.1_chr9random	NT_461639.1	AADN04012964.1
scaffold_AADN04013048.1_chr9random	NT_461640.1	AADN04013048.1
scaffold_AADN04013375.1_chr9random	NT_461641.1	AADN04013375.1
scaffold_AADN04013478.1_chr9random	NT_461642.1	AADN04013478.1
scaffold_AADN04013534.1_chr9random	NT_461643.1	AADN04013534.1
scaffold_AADN04013573.1_chr9random	NT_461644.1	AADN04013573.1
scaffold_AADN04013752.1_chr9random	NT_461645.1	AADN04013752.1
scaffold_AADN04014055.1_chr9random	NT_461646.1	AADN04014055.1
scaffold_AADN04014472.1_chr9random	NT_461647.1	AADN04014472.1
scaffold_AADN04014520.1_chr9random	NT_461648.1	AADN04014520.1
scaffold_AADN04014531.1_chr9random	NT_461649.1	AADN04014531.1
scaffold_AADN04014548.1_chr9random	NT_461650.1	AADN04014548.1
scaffold_AADN04014554.1_chr9random	NT_461651.1	AADN04014554.1
scaffold_AADN04014560.1_chr9random	NT_461652.1	AADN04014560.1
scaffold_AADN04014627.1_chr9random	NT_461653.1	AADN04014627.1
scaffold_AADN04014706.1_chr9random	NT_461654.1	AADN04014706.1
scaffold_AADN04001404.1_chr9random	NT_461579.1	AADN04001404.1
scaffold_AADN04015077.1_chr9random	NT_461655.1	AADN04015077.1
scaffold_AADN04015267.1_chr9random	NT_461656.1	AADN04015267.1
scaffold_AADN04015272.1_chr9random	NT_461657.1	AADN04015272.1
scaffold_AADN04015585.1_chr9random	NT_461658.1	AADN04015585.1
scaffold_AADN04015669.1_chr9random	NT_461659.1	AADN04015669.1
scaffold_AADN04015736.1_chr9random	NT_461660.1	AADN04015736.1
scaffold_AADN04015845.1_chr9random	NT_461661.1	AADN04015845.1
scaffold_AADN04015909.1_chr9random	NT_461662.1	AADN04015909.1
scaffold_AADN04015956.1_chr9random	NT_461663.1	AADN04015956.1
scaffold_AADN04016155.1_chr9random	NT_461664.1	AADN04016155.1
scaffold_AADN04016157.1_chr9random	NT_461665.1	AADN04016157.1
scaffold_AADN04016164.1_chr9random	NT_461666.1	AADN04016164.1
scaffold_AADN04016241.1_chr9random	NT_461667.1	AADN04016241.1
scaffold_AADN04016634.1_chr9random	NT_461668.1	AADN04016634.1
scaffold_AADN04016707.1_chr9random	NT_461669.1	AADN04016707.1
scaffold_AADN04016725.1_chr9random	NT_461670.1	AADN04016725.1
scaffold_AADN04016810.1_chr9random	NT_461671.1	AADN04016810.1
scaffold_AADN04017015.1_chr9random	NT_461672.1	AADN04017015.1
scaffold_AADN04017178.1_chr9random	NT_461673.1	AADN04017178.1
scaffold_AADN04017285.1_chr9random	NT_461674.1	AADN04017285.1
scaffold_AADN04017307.1_chr9random	NT_461675.1	AADN04017307.1
scaffold_AADN04017331.1_chr9random	NT_461676.1	AADN04017331.1
scaffold_AADN04017581.1_chr9random	NT_461677.1	AADN04017581.1
scaffold_AADN04017597.1_chr9random	NT_461678.1	AADN04017597.1
scaffold_AADN04017741.1_chr9random	NT_461679.1	AADN04017741.1
scaffold_AADN04017774.1_chr9random	NT_461680.1	AADN04017774.1
scaffold_AADN04017824.1_chr9random	NT_461681.1	AADN04017824.1
scaffold_AADN04017854.1_chr9random	NT_461682.1	AADN04017854.1
scaffold_AADN04018024.1_chr9random	NT_461683.1	AADN04018024.1
scaffold_AADN04018055.1_chr9random	NT_461684.1	AADN04018055.1
scaffold_AADN04018365.1_chr9random	NT_461685.1	AADN04018365.1
scaffold_AADN04018479.1_chr9random	NT_461686.1	AADN04018479.1
scaffold_AADN04018507.1_chr9random	NT_461687.1	AADN04018507.1
scaffold_AADN04018640.1_chr9random	NT_461688.1	AADN04018640.1
scaffold_AADN04018659.1_chr9random	NT_461689.1	AADN04018659.1
scaffold_AADN04018700.1_chr9random	NT_461690.1	AADN04018700.1
scaffold_AADN04019060.1_chr9random	NT_461691.1	AADN04019060.1
scaffold_AADN04019116.1_chr9random	NT_461692.1	AADN04019116.1
scaffold_AADN04019296.1_chr9random	NT_461693.1	AADN04019296.1
scaffold_AADN04019387.1_chr9random	NT_461694.1	AADN04019387.1
scaffold_AADN04019419.1_chr9random	NT_461695.1	AADN04019419.1
scaffold_AADN04019448.1_chr9random	NT_461696.1	AADN04019448.1
scaffold_AADN04019464.1_chr9random	NT_461697.1	AADN04019464.1
scaffold_AADN04019715.1_chr9random	NT_461698.1	AADN04019715.1
scaffold_AADN04019789.1_chr9random	NT_461699.1	AADN04019789.1
scaffold_AADN04019888.1_chr9random	NT_461700.1	AADN04019888.1
scaffold_AADN04019995.1_chr9random	NT_461701.1	AADN04019995.1
scaffold_AADN04020033.1_chr9random	NT_461702.1	AADN04020033.1
scaffold_AADN04020227.1_chr9random	NT_461703.1	AADN04020227.1
scaffold_AADN04020235.1_chr9random	NT_461704.1	AADN04020235.1
scaffold_AADN04020726.1_chr9random	NT_461705.1	AADN04020726.1
scaffold_AADN04021038.1_chr9random	NT_461706.1	AADN04021038.1
scaffold_AADN04021054.1_chr9random	NT_461707.1	AADN04021054.1
scaffold_AADN04021085.1_chr9random	NT_461708.1	AADN04021085.1
scaffold_AADN04021156.1_chr9random	NT_461709.1	AADN04021156.1
scaffold_AADN04021242.1_chr9random	NT_461710.1	AADN04021242.1
scaffold_AADN04002018.1_chr9random	NT_461580.1	AADN04002018.1
scaffold_AADN04002037.1_chr9random	NT_461581.1	AADN04002037.1
scaffold_AADN04021876.1_chr9random	NT_461711.1	AADN04021876.1
scaffold_AADN04021894.1_chr9random	NT_461712.1	AADN04021894.1
scaffold_AADN04022049.1_chr9random	NT_461713.1	AADN04022049.1
scaffold_AADN04022306.1_chr9random	NT_461714.1	AADN04022306.1
scaffold_AADN04022424.1_chr9random	NT_461715.1	AADN04022424.1
scaffold_AADN04022625.1_chr9random	NT_461716.1	AADN04022625.1
scaffold_AADN04022627.1_chr9random	NT_461717.1	AADN04022627.1
scaffold_AADN04022782.1_chr9random	NT_461718.1	AADN04022782.1
scaffold_AADN04022843.1_chr9random	NT_461719.1	AADN04022843.1
scaffold_AADN04023078.1_chr9random	NT_461720.1	AADN04023078.1
scaffold_AADN04023436.1_chr9random	NT_461721.1	AADN04023436.1
scaffold_AADN04002199.1_chr9random	NT_461582.1	AADN04002199.1
scaffold_AADN04024371.1_chr9random	NT_461722.1	AADN04024371.1
scaffold_AADN04024372.1_chr9random	NT_461723.1	AADN04024372.1
scaffold_AADN04024373.1_chr9random	NT_461724.1	AADN04024373.1
scaffold_AADN04024374.1_chr9random	NT_461725.1	AADN04024374.1
scaffold_AADN04024375.1_chr9random	NT_461726.1	AADN04024375.1
scaffold_AADN04024376.1_chr9random	NT_461727.1	AADN04024376.1
scaffold_AADN04024377.1_chr9random	NT_461728.1	AADN04024377.1
scaffold_AADN04024378.1_chr9random	NT_461729.1	AADN04024378.1
scaffold_AADN04024379.1_chr9random	NT_461730.1	AADN04024379.1
scaffold_AADN04024380.1_chr9random	NT_461731.1	AADN04024380.1
scaffold_AADN04024381.1_chr9random	NT_461732.1	AADN04024381.1
scaffold_AADN04024454.1_chr9random	NT_461733.1	AADN04024454.1
scaffold_AADN04002635.1_chr9random	NT_461583.1	AADN04002635.1
scaffold_AADN04003312.1_chr9random	NT_461584.1	AADN04003312.1
scaffold_AADN04004192.1_chr9random	NT_461585.1	AADN04004192.1
scaffold_AADN04004241.1_chr9random	NT_461586.1	AADN04004241.1
scaffold_AADN04004407.1_chr9random	NT_461587.1	AADN04004407.1
scaffold_AADN04004427.1_chr9random	NT_461588.1	AADN04004427.1
scaffold_AADN04004449.1_chr9random	NT_461589.1	AADN04004449.1
scaffold_AADN04004477.1_chr9random	NT_461590.1	AADN04004477.1
scaffold_AADN04004574.1_chr9random	NT_461591.1	AADN04004574.1
scaffold_AADN04005188.1_chr9random	NT_461592.1	AADN04005188.1
scaffold_AADN04006154.1_chr9random	NT_461593.1	AADN04006154.1
scaffold_AADN04006292.1_chr9random	NT_461594.1	AADN04006292.1
scaffold_AADN04006344.1_chr9random	NT_461595.1	AADN04006344.1
scaffold_AADN04006505.1_chr9random	NT_461596.1	AADN04006505.1
scaffold_AADN04006823.1_chr9random	NT_461597.1	AADN04006823.1
scaffold_AADN04007380.1_chr9random	NT_461598.1	AADN04007380.1
scaffold_AADN04007510.1_chr9random	NT_461599.1	AADN04007510.1
scaffold_AADN04007558.1_chr9random	NT_461600.1	AADN04007558.1
scaffold_AADN04007857.1_chr9random	NT_461601.1	AADN04007857.1
scaffold_AADN04007950.1_chr9random	NT_461602.1	AADN04007950.1
scaffold_AADN04008230.1_chr9random	NT_461603.1	AADN04008230.1
scaffold_AADN04008439.1_chr9random	NT_461604.1	AADN04008439.1
scaffold_KQ759441.1_chr9random	NT_461605.1	KQ759441.1
scaffold_AADN04008541.1_chr9random	NT_461606.1	AADN04008541.1
scaffold_AADN04008566.1_chr9random	NT_461607.1	AADN04008566.1
scaffold_AADN04000891.1_chr9random	NT_461576.1	AADN04000891.1
scaffold_AADN04010354.1_chrLGE64random	NT_464117.1	AADN04010354.1
scaffold_AADN04012033.1_chrLGE64random	NT_464118.1	AADN04012033.1
scaffold_AADN04017390.1_chrLGE64random	NT_464119.1	AADN04017390.1
scaffold_AADN04018498.1_chrLGE64random	NT_464120.1	AADN04018498.1
scaffold_AADN04001767.1_chrLGE64random	NT_464107.1	AADN04001767.1
scaffold_AADN04020949.1_chrLGE64random	NT_464121.1	AADN04020949.1
scaffold_AADN04002120.1_chrLGE64random	NT_464108.1	AADN04002120.1
scaffold_AADN04003118.1_chrLGE64random	NT_464109.1	AADN04003118.1
scaffold_AADN04003156.1_chrLGE64random	NT_464110.1	AADN04003156.1
scaffold_AADN04003378.1_chrLGE64random	NT_464111.1	AADN04003378.1
scaffold_AADN04003816.1_chrLGE64random	NT_464112.1	AADN04003816.1
scaffold_AADN04003889.1_chrLGE64random	NT_464113.1	AADN04003889.1
scaffold_AADN04005929.1_chrLGE64random	NT_464114.1	AADN04005929.1
scaffold_AADN04007221.1_chrLGE64random	NT_464115.1	AADN04007221.1
scaffold_AADN04007975.1_chrLGE64random	NT_464116.1	AADN04007975.1
scaffold_AADN04000858.1_chrLGE64random	NT_464104.1	AADN04000858.1
scaffold_AADN04000902.1_chrLGE64random	NT_464105.1	AADN04000902.1
scaffold_AADN04000907.1_chrLGE64random	NT_464106.1	AADN04000907.1
scaffold_AADN04000915.1_chrUn	NT_464197.1	AADN04000915.1
scaffold_AADN04009327.1_chrUn	NT_469889.1	AADN04009327.1
scaffold_AADN04009331.1_chrUn	NT_469890.1	AADN04009331.1
scaffold_AADN04009333.1_chrUn	NT_469891.1	AADN04009333.1
scaffold_AADN04009334.1_chrUn	NT_469892.1	AADN04009334.1
scaffold_AADN04009336.1_chrUn	NT_469893.1	AADN04009336.1
scaffold_AADN04009337.1_chrUn	NT_469894.1	AADN04009337.1
scaffold_AADN04009338.1_chrUn	NT_469895.1	AADN04009338.1
scaffold_AADN04009340.1_chrUn	NT_469896.1	AADN04009340.1
scaffold_AADN04009343.1_chrUn	NT_469897.1	AADN04009343.1
scaffold_AADN04009345.1_chrUn	NT_469898.1	AADN04009345.1
scaffold_AADN04009346.1_chrUn	NT_469899.1	AADN04009346.1
scaffold_AADN04009349.1_chrUn	NT_469900.1	AADN04009349.1
scaffold_AADN04009350.1_chrUn	NT_469901.1	AADN04009350.1
scaffold_AADN04009351.1_chrUn	NT_469902.1	AADN04009351.1
scaffold_AADN04009353.1_chrUn	NT_469903.1	AADN04009353.1
scaffold_AADN04009354.1_chrUn	NT_469904.1	AADN04009354.1
scaffold_AADN04009355.1_chrUn	NT_469905.1	AADN04009355.1
scaffold_AADN04009356.1_chrUn	NT_469906.1	AADN04009356.1
scaffold_AADN04009357.1_chrUn	NT_469907.1	AADN04009357.1
scaffold_AADN04009358.1_chrUn	NT_469908.1	AADN04009358.1
scaffold_AADN04009361.1_chrUn	NT_469909.1	AADN04009361.1
scaffold_AADN04009363.1_chrUn	NT_469910.1	AADN04009363.1
